ubigeo;dominio;trabaja;p506;tamanoemp;horas;ingreso;sexo;edad;edociv;educ;informal;anio;id;anoseduc;exp;exp2;sector
150106;8;1;112;1;30;360;1;47;2;6;1;2023;23154;11;36;1296;3
150106;8;1;9241;1;45;215;0;18;1;9;1;2023;23156;16;2;4;3
150125;8;1;9500;1;48;475;0;39;2;6;1;2023;23164;11;28;784;8
150125;8;0;5252;1;12;50;0;23;1;9;1;2023;23167;16;7;49;3
150125;8;1;6023;4;56;1044;1;58;2;4;0;2023;23168;6;52;2704;1
150125;8;1;2912;5;48;1050;1;52;2;8;0;2023;23173;15;37;1369;3
150125;8;1;4530;2;60;1620;1;25;1;10;0;2023;23174;17;8;64;3
150125;8;1;2899;1;40;900;0;19;1;7;1;2023;23175;13;6;36;3
150125;8;1;8021;2;30;1380;1;59;2;10;0;2023;23181;17;42;1764;1
150135;8;1;5020;1;57;500;1;30;2;7;1;2023;23190;13;17;289;1
150135;8;1;1554;3;58;1740;1;44;6;5;0;2023;23194;9;35;1225;3
150135;8;1;1554;4;48;914;0;36;6;6;0;2023;23195;11;25;625;3
150135;8;1;1544;5;48;1037;0;20;1;7;0;2023;23196;13;7;49;3
150135;8;1;7511;5;44;1392;1;42;1;8;0;2023;23201;15;27;729;3
150135;8;1;5234;2;44;2180;0;27;1;10;0;2023;23203;17;10;100;3
150135;8;1;7513;5;50;6000;1;47;2;11;0;2023;23210;19;28;784;3
150135;8;1;7010;1;40;2000;0;48;1;6;1;2023;23212;11;37;1369;13
150135;8;1;2421;2;40;3950;0;48;1;11;0;2023;23213;19;29;841;3
150117;8;1;7491;1;48;895;1;49;1;5;1;2023;23216;9;40;1600;13
150117;8;1;1513;4;40;4450;1;54;5;8;0;2023;23220;15;39;1521;3
150117;8;1;5520;5;19;423;0;22;1;8;0;2023;23221;15;7;49;3
150117;8;1;6301;2;48;1305;1;58;5;6;0;2023;23222;11;47;2209;3
150117;8;1;1512;1;20;2715;1;42;1;10;0;2023;23223;17;25;625;3
150117;8;1;1549;2;55;1985;1;53;2;6;0;2023;23224;11;42;1764;3
150117;8;1;7492;4;48;890;0;49;2;6;0;2023;23225;11;38;1444;13
150117;8;1;8021;3;40;1666;1;31;1;9;0;2023;23229;16;15;225;1
150117;8;1;8010;5;44;2175;0;62;1;10;0;2023;23230;17;45;2025;14
150117;8;1;8511;5;32;2400;0;60;2;8;0;2023;23232;15;45;2025;3
150117;8;1;8511;5;36;2850;0;55;1;8;0;2023;23236;15;40;1600;3
150117;8;0;6021;1;60;110;1;44;6;6;0;2023;23237;11;33;1089;1
150117;8;1;5520;1;54;200;0;36;6;7;1;2023;23238;13;23;529;3
150110;8;1;9500;1;24;750;0;47;1;6;1;2023;23243;11;36;1296;8
150110;8;1;9500;1;48;1050;0;44;5;6;1;2023;23244;11;33;1089;8
150110;8;1;7523;5;24;1700;0;22;1;9;1;2023;23252;16;6;36;3
150110;8;0;8021;1;10;1300;1;53;1;9;1;2023;23253;16;37;1369;1
150128;8;1;4530;1;48;1810;1;58;2;8;0;2023;23256;15;43;1849;3
150128;8;1;7499;1;48;2175;0;27;1;10;0;2023;23258;17;10;100;13
150128;8;1;4530;1;48;1660;1;25;1;8;1;2023;23261;15;10;100;3
150128;8;1;5122;5;40;895;1;34;6;4;0;2023;23263;6;28;784;3
150128;8;1;5520;1;48;1025;0;21;1;7;1;2023;23264;13;8;64;3
150128;8;1;8511;5;30;2400;0;64;2;10;0;2023;23267;17;47;2209;3
150128;8;1;1541;1;28;350;1;64;2;8;1;2023;23268;15;49;2401;3
150128;8;1;8511;5;48;2345;1;59;2;10;0;2023;23270;17;42;1764;3
150128;8;1;8511;5;40;807;0;61;2;10;0;2023;23271;17;44;1936;3
150128;8;1;4530;2;16;1810;1;46;2;10;1;2023;23278;17;29;841;3
150128;8;1;5520;1;20;120;1;45;1;6;1;2023;23281;11;34;1156;3
150128;8;1;5520;1;19;160;0;73;4;6;1;2023;23282;11;62;3844;3
150128;8;1;5520;1;60;825;0;60;5;8;0;2023;23286;15;45;2025;3
150128;8;1;7512;5;40;2000;1;31;6;9;1;2023;23287;16;15;225;3
150128;8;1;5149;5;60;1935;1;25;1;6;0;2023;23292;11;14;196;3
150128;8;1;6303;1;48;892;0;36;1;9;0;2023;23295;16;20;400;1
150128;8;1;8010;5;24;2225;0;51;1;10;0;2023;23301;17;34;1156;14
150128;8;1;7512;5;30;1900;0;53;3;8;0;2023;23302;15;38;1444;3
150128;8;1;5122;2;40;2015;1;52;2;6;0;2023;23303;11;41;1681;3
150128;8;1;7512;5;30;1566;1;27;1;7;0;2023;23305;13;14;196;3
150128;8;1;5520;5;24;440;1;19;1;9;0;2023;23306;16;3;9;3
